rank	word	count
12	za	2161004
16	što	1775707
18	ali	1547318
19	sa	1531078
21	nije	1396561
23	samo	1187672
25	te	1157737
26	od	1155066
28	ga	1121747
29	bi	1106475
31	o	991188
33	ako	943132
34	sve	923139
36	kao	904619
37	će	847670
38	tako	819964
40	nisam	736129
43	ovde	693396
46	zašto	650336
50	nešto	626520
51	bilo	608989
52	redu	598671
54	koji	567916
55	kad	549645
57	ću	540350
60	mislim	513504
62	ili	483372
63	znaš	481997
64	možda	471577
65	ih	466202
66	više	462469
68	sada	452395
69	vam	450589
70	zar	440849
71	gde	439275
72	да	438142
73	do	436854
74	bih	435793
75	treba	430197
77	mu	416942
78	rekao	416605
79	bila	411585
80	malo	408944
82	nema	406344
83	ništa	406283
84	nas	399098
85	mene	393782
88	је	365384
89	tebe	361349
91	sad	359185
92	ni	356822
93	hajde	355432
94	tamo	348753
95	može	341681
96	možeš	340044
98	zbog	335238
100	nam	331725
101	želim	327829
102	tu	319606
103	hej	307931
104	nisi	305627
105	stvarno	299938
106	jesi	297174
107	jer	292147
108	svi	291903
109	po	290502
110	zato	289324
111	baš	288959
112	ljudi	288121
113	moram	280997
115	ćemo	269502
116	misliš	268760
119	stvari	260624
121	pre	257806
123	ćeš	249166
124	nego	249137
125	koje	246378
126	dok	245164
127	neće	244277
128	uvek	243348
130	oh	239882
131	naravno	235039
132	toga	230021
133	ono	226764
135	mnogo	223932
136	joj	223230
137	možemo	222751
139	neko	218595
141	gospodine	215156
142	vreme	215083
143	taj	214617
144	dana	212727
145	kod	212046
146	koja	210971
147	tvoj	210210
148	zdravo	209842
149	reći	209582
151	znači	205163
152	tome	203423
153	posao	201900
154	nikad	201859
155	žao	200759
156	hoćeš	199835
157	rekla	197313
158	bolje	197036
161	mogao	194279
162	put	193706
163	jeste	193401
166	mora	190750
168	izgleda	190027
169	neću	188860
170	moramo	187662
171	želiš	187537
172	nemoj	186876
173	bude	185298
174	bili	182843
175	kažem	182682
178	meni	180175
180	bože	179083
181	mama	176804
182	не	174310
183	moraš	172995
184	ok	172601
185	daj	172358
187	tata	166940
188	vidi	165121
189	volim	165031
190	се	164636
192	у	163656
193	život	163388
194	kući	162531
195	reci	162300
196	и	162272
197	svoje	162214
199	njega	159451
200	trebalo	159232
201	stvar	158987
202	nisu	158500
203	mislio	157640
204	vremena	155741
205	imao	155100
209	nikada	149501
211	odmah	144494
212	tvoja	142687
213	možete	142492
214	toliko	140894
215	neka	140858
216	kaže	138810
217	neki	138551
218	video	137826
220	tim	136151
221	tobom	135365
222	čak	134999
223	ime	134415
224	veoma	132774
225	то	131931
226	koju	131780
228	čemu	130846
229	niko	126811
230	oko	126733
231	svoju	126572
233	tvoje	125637
234	opet	125055
235	upravo	124782
236	svoj	124752
237	mnom	123510
238	jesam	123009
240	сам	122759
241	nismo	122092
242	idi	120828
243	sigurno	120755
245	jednom	119836
247	ove	119701
248	god	119139
249	vidiš	118164
250	postoji	118161
254	ta	116375
255	kažeš	115979
256	čovek	115884
257	tebi	114905
258	puno	114523
259	znao	114210
260	lepo	113907
261	želi	112968
262	puta	112193
264	čekaj	111626
265	pravu	111469
266	jako	111166
267	prvi	111079
268	novac	110812
269	dovoljno	110736
272	dalje	108404
273	zajedno	107226
274	dušo	107154
275	sebe	107026
276	drugi	106400
277	njih	105088
278	došao	104821
279	dosta	104646
280	problem	103561
282	g	103179
283	prema	103025
284	ova	102993
286	mesto	102586
287	koga	102350
288	ovamo	102297
289	slušaj	102199
291	vrlo	101992
293	uradio	99683
294	način	99429
295	desilo	98404
296	sranje	97841
297	budem	97453
298	pomoći	96711
299	ponovo	96557
300	ma	96520
301	mogla	96024
302	kroz	95758
303	posle	95440
304	nećeš	94896
305	dobra	94847
306	zaista	94598
307	hteo	94591
308	vrata	94431
