lat	cyr	pos	ekav	gloss
-ac				-ец
-ost				-ость
a				а
aba				аба
abaja				абайя
abak				абак
abakan				абакан
abazija				абазия
abažur				абажур
aberacija				аберрация
abhaska				абхазка
abhaski				абхазский
abhaz				абхазец
abhazija				абхазия
abidžan				абиджан
abisal				абиссаль
abisinac				абиссинец
abisinija				абиссиния
abiturijent				абитуриент
abiturijentkinja				абитуриентка
abiturijentski				абитуриентский
abjuracija				абъюрация
ablativ				аблатив
abnormalnost				ненормальность
abolicionista				аболиционист
abolicionizam				аболиционизм
abonent				абонент
abonentski				абонентный
abonirati				абонировать
abonman				абонемент
abordaž				абордаж
aborigin				абориген
abortivan				абортивный
abortus				аборт
abrazija				абразия
abrazioni				абразивный, абразионный
abraziv				абразив
abrazivnost				абразивность
abrevijatura				аббревиатура
abruco				абруццо
absorbirati				абсорбировать
abudža				абуджа
abulija				абулия
acefalija				ацефалия
acetat				ацетат
acetilen				ацетилен
acrostih				акростих
ad				ад
adamizam				адамизм
adaptacija				адаптация
adekvatan				адекватный
adenokarcinom				аденокарцинома
adenozindifosfat				аденозиндифосфат
adf				аденозиндифосфат
adijabata				адиабата
adijabatski				адиабатический
adjuvantni				адъювант
administracija				администрирование
administrator				администратор
admiral				адмирал
adopcija				адоптация
adp				аденозиндифосфат
adut				козырь
advokat				адвокат
aeroban				аэробный
aerobiologija				аэробиология
aerodinamika				аэродинамика
aerodrom				аэропорт
aerofotografisanje				аэрофотосъёмка
aeroklub				авиаспортклуб
aerologija				аэрология
aerosaonice				аэросани
aerosol				аэрозоль
afatomija				аффатомия
afazija				афазия
afekt				аффект
aforizam				афоризм
afrikanac				африканец
afrikanka				африканка
afrički				африканский
afroazijski				афразийский
agaton				агафон
agent				агент
agitator				агитатор
aglutinativan				агглютинирующий
agnat				агнат
agnosticizam				агностицизм
agnotologija				агнотология
agnozija				агнозия
agonalni				умирающий
agorafobija				агорафобия
agregacija				агрегация
agresor				агрессор
agrobiologija				агробиология
agrobiološki				агробиологический
agronomija				агрономия
agronomski				агрономический
agrotehnika				агротехника
agrotehničar				агротехник
ah				а
aha				а
ahat				агат
ahen				аахен
ahromatičan				ахроматический
ahvahci				ахвахец
aikido				айкидо
aileron				элерон
ajatolah				аятолла
ajdaho				айдахо
ajdao				айдахо
ajet				аят
ajfon				айфон
ajkula				аккула, акула
ajnštajnijum				эйнштейний
ajova				айова
ajskati				гейкать
