lat	cyr	pos	ekav	gloss
-b	-б	suffix		при добавлении к основе глагола образует существительное женского рода со значением наименование действия как процесса; при добавлении к основе глагола образует существительное женского рода со значением наименование документа
-ob	-об	suffix		при добавлении к основе прилагательного образует существительное женского рода со значением свойства или качества, названного мотивирующими словом
a	а	interj		выражает удивление или восхищение: а!, ах!; выражает одобрение: ну вот!, ага!
a	а	unknown		название первой буквы сербского алфавита; название звука, обозначаемого первой буквой сербского алфавита
a	а	unknown		(противительный) а; однако… даже
a	а	unknown		(присоединительная): а
a da ne	а да не	phrase		чтобы не
a kamoli	а камоли	phrase		тем более, не говоря уже
a ono	а оно	phrase		между тем, в таком случае, по крайней мере; а то
a ono	a ono	phrase		между тем, в таком случае, по крайней мере; а то
a pre, a posle	а пре, а после	phrase	ekav	раньше или позже
a pre, a posle	a pre, a posle	phrase	ekav	раньше или позже
a tako	а тако	phrase		ах так!
a tako	a tako	phrase		ах так!
a to	а то	phrase		между тем, в то же время
a to	a to	phrase		между тем, в то же время
a-	а-	prefix		при добавлении к разным частям речи образует слова со значением не; при добавлении к разным частям речи образует слова со значением без
aa	аа	intj		а!; ах!
aba	аба	noun		устар. аба (сукно); устар. аба (верхняя одежда)
abadžija	абаџија	noun		портной одежды из абы
abadžija	abadžija	noun		портной одежды из абы
Abadžić	Абаџић	noun		сербская фамилия
abak	абак	noun		столик; абак, абака
abazija	abazija	noun		мед. абазия
abazija	абазија	noun		мед. абазия
Abazović	Абазовић	noun		сербская фамилия
abažur	абажур	noun		абажур (аналогично русскому слову)
abažur	abažur	noun		абажур
abdes	abdes	noun		то же, что avdes, омовение перед молитвой (у мусульман)
abdes	абдес	noun		омовение перед молитвой (у мусульман)
abdest	abdest	noun		то же, что avdes, омовение перед молитвой (у мусульман)
abdest	абдест	noun		омовение перед молитвой (у мусульман)
abdicirati	abdicirati	verb		отречься от престола
abdicirati	абдицирати	verb		отречься от престола
abdikacija	абдикација	noun		отречение от престола
abdikacija	abdikacija	noun		отречение от престола
Abdulić	Абдулић	noun		сербская фамилия
abe	abe	noun		форма множественного числа существительного aba
abeceda	abeceda	noun		алфавит, азбука
abeceda	абецеда	noun		алфавит (обычно латинский)
abecedan	abecedan	adj		азбучный, алфавитный
abecedan	абецедан	adj		азбучный, алфавитный
aber	aber	noun		устар. известие, весть
aber	абер	noun		устар. известие, весть
aberacija	аберација	noun		аберрация, отклонение
aberacija	aberacija	noun		аберрация, отклонение
Abhazija	Абхазија	noun		Абхазия
Abhazija	Abhazija	noun		Абхазия
abhazijski	abhazijski	adj		абхазский, относящийся к Абхазии
abhazijski	абхазијски	adj		абхазский, относящийся к Абхазии
Abidžan	Абиџан	noun		Абиджан
Abidžan	Abidžan	noun		Абиджан
abisal	abisal	noun		абиссаль
abisal	абисал	noun		абиссаль
Abisinac	Abisinac	noun		абиссинец
Abisinac	Абисинац	noun		абиссинец
ablativ	аблатив	noun		лингв., грам. аблатив (аналогично русскому слову)
ablativ	ablativ	noun		лингв. аблатив
abnormalan	abnormalan	adj		ненормальный
abnormalan	абнормалан	adj		ненормальный
abnormalnost	абнормалност	noun		ненормальность, неправильность
abolicija	abolicija	noun		аболиция
abolicija	аболиција	noun		аболиция
abonent	abonent	noun		абонент
abonent	абонент	noun		абонент (аналогично русскому слову)
abonirati	abonirati	verb		абонировать
abonirati	абонирати	verb		абонировать
abonos	abonos	noun		эбеновое дерево, чёрное дерево
abonos	абонос	noun		эбеновое дерево, чёрное дерево
abordaž	абордаж	noun		абордаж
abortus	абортус	noun		аборт
abortus	abortus	noun		аборт
Abović	Абовић	noun		сербская фамилия
Abramić	Абрамић	noun		сербская фамилия
Abramović	Абрамовић	noun		сербская фамилия
Abranović	Абрановић	noun		сербская фамилия
abrazija	абразија	noun		абразия
abrazija	abrazija	noun		абразия
abraziv	абразив	noun		спец. абразив (аналогично русскому слову)
abraziv	abraziv	noun		абразив
abrazivnost	abrazivnost	noun		абразивность
Abrašević	Абрашевић	noun		сербская фамилия
absenteizam	absenteizam	noun		книжн. абсентеизм
Abver	Абвер	noun		абвер
Abver	Abver	noun		абвер
abzac	абзац	noun		абзац (аналогично русскому слову)
abzac	abzac	noun		то же, что alineja: абзац
Acamović	Ацамовић	noun		сербская фамилия
acefalija	ацефалија	noun		мед. ацефалия
acetat	ацетат	noun		хим. ацетат (аналогично русскому слову)
acetilen	ацетилен	noun		хим. ацетилен, этин
Acić	Ацић	noun		сербская фамилия
Acković	Ацковић	noun		сербская фамилия
Aco	Aco	noun		Ацо
Aco	Ацо	noun		Ацо
Acović	Ацовић	noun		сербская фамилия
ada	ada	noun		островок
ada	ада	noun		островок
Adam	Adam	noun		Адам
Adam	Адам	noun		Адам
Adamac	Адамац	noun		сербская фамилия
Adamić	Адамић	noun		сербская фамилия
Adamova jabučica	Адамова јабучица	phrase		адамово яблоко, кадык
Adamova jabučica	Adamova jabučica	phrase		адамово яблоко, кадык
Adamović	Адамовић	noun		сербская фамилия
adaptacija	адаптација	noun		адаптация, приспособление
adaptacija	adaptacija	noun		адаптация, приспособление
adaptivna optika	адаптивна оптика	phrase		адаптивная оптика
Adašević	Адашевић	noun		сербская фамилия
adekvatan	адекватан	adj		адекватный
adekvatno	адекватно	adv		адекватно
adenokarcinom	аденокарцином	noun		мед. аденокарцинома
Adigeja	Адигеја	noun		Адыгея
adijabatski	адијабатски	adj		физ. адиабатический
adijabatski	adijabatski	adj		физ. адиабатический
adjektiv	адјектив	noun		адъектив, имя прилагательное
administracija	администрација	noun		администрация
administracija	administracija	noun		администрация
administrativni	административни	adj		административный
administrativni	administrativni	adj		административный
administrator	администратор	noun		администратор (аналогично русскому слову)
administrator	administrator	noun		администратор
admiral	адмирал	noun		воен. адмирал
admiral	admiral	noun		адмирал
admiralski	admiralski	adj		адмиральский; (о корабле) флагманский
admiralski	адмиралски	adj		адмиральский; (о корабле) флагманский
adoptacija	adoptacija	noun		усыновление, усвоение
adoptacija	адоптација	noun		усыновление, усвоение
adrenalin	адреналин	noun		биохим. адреналин (аналогично русскому слову)
adresa	adresa	noun		адрес
adresa	адреса	noun		адрес
adresar	адресар	noun		адресная книга
adresar	adresar	noun		адресная книга
adresat	адресат	noun		адресат (аналогично русскому слову)
adresovati	adresovati	verb		адресовать
adresovati	адресовати	verb		адресовать
adut	адут	noun		козырь
adut	adut	noun		козырь
advokat	адвокат	noun		адвокат (аналог. русск. адвокат [1]
advokat	advokat	noun		адвокат
advokatirati	advokatirati	verb		заниматься адвокатской деятельностью
advokatirati	адвокатирати	verb		заниматься адвокатской деятельностью
advokatisati	адвокатисати	verb		заниматься адвокатской деятельностью
advokatisati	advokatisati	verb		заниматься адвокатской деятельностью
advokatski	advokatski	adj		адвокатский
advokatski	адвокатски	adj		адвокатский
Adžić	Аџић	noun		сербская фамилия
Adžović	Аџовић	noun		сербская фамилия
aeroban	аеробан	adj		биол. аэробный
aerobik	аеробик	noun		аэробика
aerobika	аеробика	noun		аэробика
aerodinamika	аеродинамика	noun		аэродинамика
aerodrom	аеродром	noun		аэродром, аэропорт
aerodrom	aerodrom	noun		аэродром
aerologija	aerologija	noun		спец. аэрология
aerologija	аерологија	noun		спец. аэрология
aeromiting	аеромитинг	noun		аэрошоу, воздушный парад
aeromiting	aeromiting	noun		аэрошоу, воздушный парад
aeronautika	aeronautika	noun		аэронавтика
aeronautika	аеронаутика	noun		аэронавтика
aeroplan	аероплан	noun		аэроплан
aeroplan	aeroplan	noun		аэроплан
aerosol	аеросол	noun		хим. аэрозоль
aerostat	аеростат	noun		аэростат
afatomija	афатомија	noun		истор. аффатомия
afekat	afekat	noun		аффект
afekat	афекат	noun		аффект
afekt	афект	noun		аффект
afera	афера	noun		афера
afera	afera	noun		афера
aferaš	афераш	noun		аферист
aferaš	aferaš	noun		аферист
afirmacija	афирмација	noun		подтверждение; утверждение
afirmacija	afirmacija	noun		подтверждение; утверждение
afiširati	афиширати	verb		афишировать, разглашать
afiširati	afiširati	verb		афишировать, разглашать
aforizam	афоризам	noun		афоризм
aforizam	aforizam	noun		афоризм
Afrika	Африка	noun		Африка
Afrikanac	Afrikanac	noun		африканец
Afrikanac	Африканац	noun		африканец
afrikanac	африканац	noun		африканец
afrikanizam	африканизам	noun		африканизм
afrikanizam	afrikanizam	noun		африканизм
afrikanka	африканка	noun		африканка
Afrikanka	Африканка	noun		африканка
afrički	afrički	adj		африканский
afrički	афрички	adj		африканский
afroazijski	афроазијски	adj		лингв. афразийский
Afrodita	Афродита	noun		мифол. Афродита
aga	ага	noun		истор., ага, начальник; господин; придворный офицер (в старой Турции)
aga	aga	noun		истор. , ага, начальник; господин; придворный офицер (в старой Турции)
Agatonović	Агатоновић	noun		сербская фамилия
agač	агач	noun		единица измерения расстояния, равная тысяче метров
Agbaba	Агбаба	noun		сербская фамилия
agencija	агенција	noun		агентство
agencija	agencija	noun		агентство
agent	агент	noun		агент
agent	agent	noun		агент
agentura	агентура	noun		агентура (аналогично русскому слову)
agentura	agentura	noun		агентура
agilan	agilan	adj		деятельный, активный
agilan	агилан	adj		деятельный, активный
agitacija	агитација	noun		агитация
agitacija	agitacija	noun		агитация
agitator	agitator	noun		агитатор
agitator	агитатор	noun		агитатор
agitovati	agitovati	verb		агитировать
agitovati	агитовати	verb		агитировать
aglutinativan	аглутинативан	adj		лингв. агглютинативный, агглютинирующий
agnat	agnat	noun		агнат
agnat	агнат	noun		агнат
agnosticizam	агностицизам	noun		агностицизм
agnosticizam	agnosticizam	noun		агностицизм
agnostik	агностик	noun		филос. агностик (аналогично русскому слову)
agnostički	агностички	adj		агностический
agnozija	агнозија	noun		мед. агнозия
agonija	агонија	noun		агония
