order	lemma	pos	spoken	web	forms	sentences	gloss
1	samo	ADV	1187672	1155967	1	52	только
2	možda	ADV	471577	234224	2	6	возможно
3	sad	ADV	359185	289115	8	11	сейчас, теперь
4	čuti	VERB	312737	132845	109	13	слышать; чуять, чувствовать запах
5	život	NOUN	307430	413685	15	40	жизнь
6	zato	ADV	289324	308193	2	1	поэтому
7	dobiti	VERB	245059	406952	102	6	получить, приобрести; выиграть
8	naravno	ADV	235039	187478	4	2	конечно, разумеется
9	pričati	VERB	234940	114073	102	32	говорить, разговаривать, беседовать; рассказывать, повествовать
10	tražiti	VERB	216917	201196	102	24	искать
11	nov	ADJ	216423	1043301	191	53	новый
12	gledati	VERB	215742	153922	102	38	смотреть; присматривать
13	prijatelj	NOUN	210576	108390	15	61	друг
14	zdravo	ADV	210203	9061	4	4	здравствуйте
15	pitati	VERB	207071	120052	102	17	спрашивать
16	nikad	ADV	201859	72667	1	29	никогда
17	ime	NOUN	176858	210637	15	33	?
18	postojati	VERB	168470	428553	29	23	быть, существовать
19	odmah	ADV	145671	122210	2	1	сразу, немедленно, тотчас
20	mrtav	ADJ	144256	29872	194	8	мёртвый
21	deo	NOUN	134075	516156	28	5	часть; доля
22	pitanje	NOUN	132683	489529	15	34	вопрос
23	priča	NOUN	125381	187131	15	11	?
24	voleti	VERB	118221	39067	109	202	любить
25	način	NOUN	117792	441266	15	3	способ, приём; образ действия
26	pronaći	VERB	113498	83041	96	9	найти, отыскать (после поисков); изобрести, открыть
27	postati	VERB	111862	228980	130	6	стать, возникнуть
28	koristiti	VERB	106809	335177	102	15	использовать, пользоваться, применять; быть полезным, приносить пользу, идти на пользу
29	isti	ADJ	104736	388535	63	4	такой же, одинаковый
30	reč	NOUN	103667	348579	30	22	слово
31	ovamo	ADV	102297	6188	1	0	сюда
32	biće	NOUN	90316	135715	15	4	живое существо
33	broj	NOUN	88806	429502	15	11	число; грам. числительное
34	dole	ADV	84338	16424	2	1	вниз; внизу
35	brod	NOUN	81563	38009	15	12	корабль
36	mlad	ADJ	75234	264818	191	17	молодой
37	nestati	VERB	72832	29497	41	1	исчезнуть, пропасть
38	muškarac	NOUN	69640	82190	14	11	мужчина, муж
39	sreća	NOUN	66457	70772	15	7	счастье
40	pas	NOUN	64917	50189	38	64	зоол. собака
41	ipak	ADV	63396	219300	1	1	всё же, всё-таки, однако
42	hrana	NOUN	61069	118370	15	17	еда
43	očekivati	VERB	58648	204129	118	3	ожидать
44	negde	ADV	57619	51442	2	3	где-то, где-либо
45	odlučiti	VERB	55810	103163	102	9	решить, принять решение
46	beba	NOUN	54835	51527	15	0	?
47	tek	ADV	52858	164076	31	2	только, лишь
48	plašiti	VERB	51321	25522	102	22	пугать
49	piće	NOUN	49491	29089	15	4	напиток
50	večera	NOUN	48632	13100	15	8	ужин
51	kralj	NOUN	47083	45573	15	3	король; шахм. король
52	policajac	NOUN	45339	27026	26	0	полицейский
53	dečak	NOUN	45007	25664	58	13	мальчик
54	objasniti	VERB	44587	77866	102	6	объяснять
55	slobodan	ADJ	42037	85212	191	9	свободный
56	duh	NOUN	41329	59526	21	3	душа; внутренняя сила, мужество, настроение
57	odgovor	NOUN	41042	127766	16	14	ответ
58	napred	ADV	39919	25468	2	0	вперёд
59	početak	NOUN	39417	183659	21	5	начало
60	avion	NOUN	39367	42299	15	10	самолёт
