order	lemma	pos	freq	forms	sentences	gloss	doubt
1	samo	ADV	1187672	1	52	только	
2	možda	ADV	471577	2	6	возможно	
3	sad	ADV	359185	8	11	сейчас, теперь	
4	čuti	VERB	312737	109	13	слышать; чуять, чувствовать запах	
5	život	NOUN	307430	15	40	жизнь	
6	zato	ADV	289324	2	1	поэтому	
7	dobiti	VERB	245059	102	6	получить, приобрести; выиграть	
8	naravno	ADV	235039	4	2	конечно, разумеется	
9	pričati	VERB	234940	102	32	говорить, разговаривать, беседовать; рассказывать, повествовать	
10	tražiti	VERB	216917	102	24	искать	
11	nov	ADJ	216423	191	53	новый	
12	gledati	VERB	215742	102	38	смотреть; присматривать	
13	prijatelj	NOUN	210576	15	61	друг	
14	zdravo	ADV	210203	4	4	здравствуйте	
15	pitati	VERB	207071	102	17	спрашивать	
16	nikad	ADV	201859	1	29	никогда	
17	ime	NOUN	176858	15	33	имя	
18	postojati	VERB	168470	29	23	быть, существовать	
19	odmah	ADV	145671	2	1	сразу, немедленно, тотчас	
20	mrtav	ADJ	144256	194	8	мёртвый	
21	deo	NOUN	134075	28	5	часть; доля	
22	pitanje	NOUN	132683	15	34	вопрос	
23	priča	NOUN	125381	15	11	рассказ	
24	voleti	VERB	118221	109	202	любить	
25	način	NOUN	117792	15	3	способ, приём; образ действия	
26	pronaći	VERB	113498	96	9	найти, отыскать (после поисков); изобрести, открыть	
27	postati	VERB	111862	130	6	стать, возникнуть	
28	koristiti	VERB	106809	102	15	использовать, пользоваться, применять; быть полезным, приносить пользу, идти на пользу	
29	isti	ADJ	104736	63	4	такой же, одинаковый	
30	reč	NOUN	103667	30	22	слово	
31	ovamo	ADV	102297	1	0	сюда	
32	biće	NOUN	90316	15	4	живое существо	
33	broj	NOUN	88806	15	11	число; грам. числительное	
34	dole	ADV	84338	2	1	вниз; внизу	
35	brod	NOUN	81563	15	12	корабль	
36	mlad	ADJ	75234	191	17	молодой	
37	nestati	VERB	72832	41	1	исчезнуть, пропасть	
38	muškarac	NOUN	69640	14	11	мужчина, муж	
39	sreća	NOUN	66457	15	7	счастье	
40	pas	NOUN	64917	38	64	зоол. собака	
41	ipak	ADV	63396	1	1	всё же, всё-таки, однако	
42	hrana	NOUN	61069	15	17	еда	
43	očekivati	VERB	58648	118	3	ожидать	
44	negde	ADV	57619	2	3	где-то, где-либо	
45	odlučiti	VERB	55810	102	9	решить, принять решение	
46	beba	NOUN	54835	15	0	младенец	
47	tek	ADV	52858	31	2	только, лишь	
48	plašiti	VERB	51321	102	22	пугать	
49	piće	NOUN	49491	15	4	напиток	
50	večera	NOUN	48632	15	8	ужин	
51	kralj	NOUN	47083	15	3	король; шахм. король	
52	policajac	NOUN	45339	26	0	полицейский	
53	dečak	NOUN	45007	58	13	мальчик	
54	objasniti	VERB	44587	102	6	объяснять	
55	slobodan	ADJ	42037	191	9	свободный	
56	duh	NOUN	41329	21	3	душа; внутренняя сила, мужество, настроение	
57	odgovor	NOUN	41042	16	14	ответ	
58	napred	ADV	39919	2	0	вперёд	
59	početak	NOUN	39417	21	5	начало	
60	avion	NOUN	39367	15	10	самолёт	
61	osećaj	NOUN	39186	30	2	чувство, эмоция	
62	ulaziti	VERB	38047	29	2	входить; въезжать	
63	ćerka	NOUN	37702	16	9	дочь	
64	zanimati	VERB	37676	109	0	интересовать	
65	društvo	NOUN	37403	15	1	общество	
66	okrenuti	VERB	37324	102	0	повернуть, поворотить, развернуть; изменить (направление, тему разговора)	
67	ljudski	ADJ	36421	184	1	человеческий	
68	predsednik	NOUN	36308	30	1	председатель; президент	
69	boja	NOUN	36250	15	8	цвет	
70	budala	NOUN	36070	15	3	глупец, дурак	
71	vojnik	NOUN	34910	15	2	солдат	
72	pažnja	NOUN	34386	15	1	внимание	
73	uzimati	VERB	33841	109	5	брать	
74	smatrati	VERB	32355	102	1	полагать, считать	
75	naterati	VERB	32011	204	0	заставить	
76	šteta	NOUN	31914	15	1	вред, ущерб	
77	odgovarati	VERB	31756	102	5	отвечать	
78	zid	NOUN	31397	16	8	архит. стена	
79	crven	ADJ	31286	191	23	красный	
80	zgrada	NOUN	31068	15	5	здание, строение	
81	prst	NOUN	30652	15	4	анат. палец	drop_transparent: исконный черногорский корень, русский поймёт без объяснений
82	budućnost	NOUN	30108	15	3	будущее	
83	prozor	NOUN	30085	15	19	окно	
84	stvoriti	VERB	29625	102	4	создать	
85	neprijatelj	NOUN	28768	15	6	враг	
86	posebno	ADV	28648	3	0	особенно	
87	plaćati	VERB	28543	102	2	платить	
88	pevati	VERB	28396	204	24	петь	
89	mozak	NOUN	27830	14	0	анат. мозг	
90	savršen	ADJ	27717	191	2	совершенный	
91	većina	NOUN	27528	15	1	большинство	
92	rupa	NOUN	27237	15	2	дыра, нора	
93	sumnjati	VERB	27010	102	2	сомневаться	
94	leđa	NOUN	26901	8	0	анат. спина	
95	slati	VERB	26769	102	1	посылать, отправлять, направлять	
96	baka	NOUN	26714	15	2	бабушка	
97	vlada	NOUN	26599	15	1	правительство	
98	trenutno	ADV	26516	3	2	в данный момент	
99	promena	NOUN	26342	30	1	изменение	
100	preuzeti	VERB	25835	102	0	перенять, воспринять; взять на себя	
101	obitelj	NOUN	25782	15	0	семья	
102	američki	ADJ	25739	184	2	американский	
103	gladan	ADJ	25596	191	12	голодный	
104	zanimljiv	ADJ	25410	191	3	интересный; занимательный	
105	korak	NOUN	25377	15	1	шаг	
106	fin	ADJ	25302	191	0	тонкий	
107	plav	ADJ	25088	191	25	синий, голубой	
108	rođendan	NOUN	24671	15	10	день рождения	
109	poljubiti	VERB	24301	102	7	поцеловать	
110	pogrešan	ADJ	23859	264	5	ошибочный; неправильный	
111	pogrešno	ADV	23799	4	2	ошибочно, неправильно	
112	šala	NOUN	23678	15	3	шутка	
113	pakao	NOUN	22980	20	1	ад, преисподняя	
114	svuda	ADV	22206	1	0	везде, всюду, повсюду	
115	lov	NOUN	22200	16	1	охота	
116	prljav	ADJ	22080	191	3	грязный	
117	putovanje	NOUN	21819	15	2	поездка; путешествие	
118	kurac	NOUN	21651	14	0	обсц. хуй	drop_rare: начинающему не нужна
119	ponuda	NOUN	21448	15	0	предложение; ставка	
120	mogućnost	NOUN	21084	15	2	возможность	
121	ujutro	ADV	20943	1	2	утром	
122	kraljica	NOUN	20860	15	1	королева; шахм. ферзь, королева	
123	ponosan	ADJ	20703	191	2	гордый	
124	kći	NOUN	20620	15	0	дочь	
125	šuma	NOUN	20566	15	3	лес	
126	kamion	NOUN	20483	15	1	грузовой автомобиль, грузовик	
127	poštovati	VERB	20480	102	3	уважать	
128	komad	NOUN	20339	15	4	кусок, кусочек	
129	brzina	NOUN	20266	15	2	скорость	
130	predstava	NOUN	20163	15	0	спектакль	
131	oduvek	ADV	19649	2	0	издавна, испокон веков (испокон века)	
132	prazan	ADJ	18743	191	12	пустой, порожний	
133	planina	NOUN	18491	15	6	гора	
